"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that a failed query is logged correctly.","4","TC-QL-005 Log Query Failure","","2026-07-30","passed","2026-07-30","Test Query Logger","Logging","",""
"Inserts a single record into the test table.","14","TC-DM-002 Insert Single Test Record","","2026-07-30","passed","2026-07-30","Test Data Setup","Database","",""
"Verifies that multiple form fields can be cleared at once.","939","TC-FORM-011 Clear All Form Fields","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that the log file size is greater than 0.","4","TC-FL-005 Get Log File Size","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Verifies that the log file exists and is not empty.","6","TC-FL-004 Validate Log File","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Verifies that response time is within 5 seconds.","185","TC-VAL-API-008 Validate Response Time","","2026-07-30","passed","2026-07-30","Test Api Validation","Api","",""
"Verifies that a link can be opened in a new tab.","4295","TC-MC-008 Open Link In New Tab","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies that status code is in expected list.","183","TC-VAL-API-002 Validate Status Code In List","","2026-07-30","passed","2026-07-30","Test Api Validation","Api","",""
"Verifies that hovering over an element works.","830","TC-INT-004 Hover Over Element","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies that screenshot path is returned correctly.","758","TC-VIS-010 Get Screenshot Path","","2026-07-30","passed","2026-07-30","Test Visual Testing","Ui","",""
"Verifies the exact number of records in the users table.","13","TC-VAL-005 Verify Table Record Count","","2026-07-30","passed","2026-07-30","Test Validation","Database","",""
"Verifies that all user sessions can be closed at once.","5747","TC-MC-013 Close All User Sessions","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies that First Contentful Paint metric is returned.","817","TC-PERF-003 Get First Contentful Paint","","2026-07-30","passed","2026-07-30","Test Performance","Ui","",""
"Verifies that a timeout error is logged correctly.","10","TC-ERR-005 Log Timeout Error","","2026-07-30","passed","2026-07-30","Test Error Logger","Logging","",""
"Verifies that network can be set offline and back online.","1094","TC-NET-006 Set Network Offline And Online","","2026-07-30","passed","2026-07-30","Test Network","Ui","",""
"Verifies that heading text matches a pattern.","793","TC-VAL-UI-006 Verify Element Text Matches","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that duration is logged to the file.","9","TC-EL-005 Log Duration","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that query duration is logged correctly.","5","TC-QL-003 Log Query Duration","","2026-07-30","passed","2026-07-30","Test Query Logger","Logging","",""
"Verifies that last response is stored and returned.","183","TC-CLI-005 Get Last Response","","2026-07-30","passed","2026-07-30","Test Api Client","Api","",""
"Verifies test teardown start and end are logged.","10","TC-EL-013 Log Test Teardown Start And End","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies suite statistics are logged correctly.","5","TC-EL-011 Log Suite Statistics","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that all form field values are returned as dictionary.","831","TC-FORM-012 Get All Form Field Values","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies test error is logged correctly.","5","TC-EL-016 Log Test Error","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that page scrolls back to the top.","793","TC-NAV-007 Scroll To Top","","2026-07-30","passed","2026-07-30","Test Navigation","Ui","",""
"Verifies that form fields are visible.","804","TC-FORM-007 Verify Form Field Is Visible","","2026-07-30","passed","2026-07-30","Test Form","Ui","",""
"Verifies that a GET request works correctly.","339","TC-CLI-006 GET Request","","2026-07-30","passed","2026-07-30","Test Api Client","Api","",""
"Verifies validation step is logged correctly.","5","TC-EL-032 Log Validation Result","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that auth type is Basic after configuration.","6","TC-AUTH-005 Get Auth Type Basic","","2026-07-30","passed","2026-07-30","Test Api Auth","Api","",""
"Verifies that submit button has expected display property.","798","TC-VAL-UI-015 Verify Element CSS Property","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that selected option value is returned.","826","TC-INT-014 Get Selected Option","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies that a timestamp is returned in the correct format.","2","TC-EL-001 Format Timestamp","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies debug message is logged when level is DEBUG.","10","TC-EL-028 Log Debug Message","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that end time is stored and retrieved correctly.","4","TC-EL-003 Store And Get End Time","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that transaction start is logged correctly.","5","TC-QL-008 Log Transaction Start","","2026-07-30","passed","2026-07-30","Test Query Logger","Logging","",""
"Verifies selecting an option from dropdown by label.","831","TC-INT-012 Select Option By Label","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies that an element can be clicked.","4191","TC-INT-001 Click Element","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies that email field has type attribute equal to email.","800","TC-VAL-UI-008 Verify Element Attribute","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that Escape key works.","774","TC-INT-008 Press Escape","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies suite summary is logged correctly.","5","TC-EL-010 Log Suite Summary","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that the login request is detected when form is submitted.","4358","TC-NET-001 Wait For Request","","2026-07-30","passed","2026-07-30","Test Network","Ui","",""
"Verifies switching between browser contexts.","39","TC-MC-002 Switch To Context","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies that a specific context can be closed.","28","TC-MC-004 Close Specific Context","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies execution log is cleared successfully.","6","TC-EL-033 Clear Execution Log","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that Largest Contentful Paint metric is returned.","777","TC-PERF-004 Get Largest Contentful Paint","","2026-07-30","passed","2026-07-30","Test Performance","Ui","",""
"Verifies that focus can be set on an element.","797","TC-INT-005 Focus Element","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Measures and verifies navigation time to BMS.","1534","TC-PERF-011 Measure Navigation Time","","2026-07-30","passed","2026-07-30","Test Performance","Ui","",""
"Verifies that CSS property is returned correctly.","818","TC-VAL-UI-014 Get Element CSS Property","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that authentication configuration can be cleared.","191","TC-AUTH-009 Clear Auth","","2026-07-30","passed","2026-07-30","Test Api Auth","Api","",""
"Reads all records from the users table.","10","TC-CRUD-001 Read All Records From Users Table","","2026-07-30","passed","2026-07-30","Test Crud","Database","",""
"Verifies an element becomes visible after a failed login.","3892","TC-VAL-UI-016 Verify Element Is Hidden After Submit Error","","2026-07-30","passed","2026-07-30","Test Ui Validation","Ui","",""
"Verifies that browser version is returned.","1174","TC-UI-006 Get Browser Version","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies critical message is logged correctly.","5","TC-EL-030 Log Critical Message","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that the log file is exported to CSV.","18","TC-FL-008 Export Log To CSV","","2026-07-30","passed","2026-07-30","Test File Logger","Logging","",""
"Verifies that a specific key can be pressed.","798","TC-INT-017 Press Key","","2026-07-30","passed","2026-07-30","Test Interaction","Ui","",""
"Verifies that a non-existent user is not in the database.","7","TC-VAL-002 Verify Record Does Not Exist In Users Table","","2026-07-30","passed","2026-07-30","Test Validation","Database","",""
"Verifies test setup start and end are logged.","9","TC-EL-012 Log Test Setup Start And End","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
"Verifies that the current page can be closed.","2378","TC-UI-011 Close Current Page","","2026-07-30","passed","2026-07-30","Test Common Ui","Ui","",""
"Verifies that a user session can be closed.","2596","TC-MC-007 Close User Session","","2026-07-30","passed","2026-07-30","Test Multi Context","Ui","",""
"Verifies suite teardown start and end are logged.","15","TC-EL-009 Log Suite Teardown Start And End","","2026-07-30","passed","2026-07-30","Test Execution Logger","Logging","",""
